,sideefect
18373,blood corticosterone abnormal
18374,chemotherapy multiple agents systemic
18375,cardiopulmonary bypass
18376,bone disorder
18377,cranial nerve neoplasm benign
18378,iliac bruit
18379,capsule physical issue
18380,congenital mitral valve stenosis
18381,radiation skin injury
18383,mesenteric artery aneurysm
18384,hiatus hernia strangulated
18385,infusion site injury
18386,pneumonia herpes viral
18387,muscle electrostimulation therapy
18388,cerebellar hypoplasia
18389,optic glioma
18390,coagulation factor viii level
18391,reaction to azo-dyes
18392,aldolase abnormal
18393,akinesia
18394,alveolar-arterial oxygen gradient increased
18395,blood creatine phosphokinase bb increased
18396,karyotype analysis abnormal
18397,proteus syndrome
18398,in-stent arterial stenosis
18399,lipase urine increased
18400,pneumonia chlamydial
18401,congenital flat feet
18402,galactostasis
18403,parathyroid disorder
18404,refractory cytopenia with multilineage dysplasia
18405,tobacco abuse
18406,incorrect disposal of product
18407,cerebellar artery thrombosis
18408,diffuse large b-cell lymphoma stage i
18409,ureteric cancer recurrent
18410,peristalsis visible
18411,infantile apnoeic attack
18412,biopsy salivary gland abnormal
18413,allergy to metals
18414,sedative therapy
18416,laryngocele
18417,umbilical haematoma
18418,varicose veins vulval
18419,herpes zoster cutaneous disseminated
18420,chronic infantile neurological cutaneous and articular syndrome
18421,polyglandular autoimmune syndrome type ii
18422,anaesthetic complication pulmonary
18423,product dispensing error
18424,chemical cystitis
18425,joint injection
18426,sleep terror
18427,oesophageal adenocarcinoma metastatic
18428,infective episcleritis
18429,malignant nipple neoplasm female
18430,panic disorder with agoraphobia
18431,neuromuscular toxicity
18433,cortical laminar necrosis
18434,critical illness polyneuropathy
18435,body fat disorder
18437,oropharyngeal discolouration
18438,borrelia burgdorferi serology negative
18439,progressive multifocal leukoencephalopathy
18440,hepatic infection
18441,retinal pallor
18442,skin wound
18443,gastrointestinal candidiasis
18444,plateletpheresis
18445,enterocolitis bacterial
18446,radioallergosorbent test positive
18447,sarcoidosis
18448,motion sickness
18449,infusion site induration
18450,fallopian tube cancer metastatic
18451,cyst rupture
18452,bifidobacterium test positive
18453,superinfection fungal
18454,paracentesis abdomen
18455,skin discomfort
18456,capillary fragility
18457,osteocalcin increased
18458,dizziness
18459,glucose tolerance test normal
18460,foetal-maternal haemorrhage
18461,penis carcinoma metastatic
18462,leukaemic retinopathy
18463,implant tissue necrosis
18464,placental infarction
18465,brachydactyly
18466,incisional hernia gangrenous
18467,eosinophil count abnormal
18468,family stress
18469,meningitis neonatal
18470,skin desquamation
18472,myeloperoxidase deficiency
18473,sprue-like enteropathy
18474,congenital aplastic anaemia
18475,dyslipidaemia
18476,tobacco interaction
18477,infected sebaceous cyst
18478,special senses congenital anomaly
18479,incarcerated inguinal hernia
18480,bradyphrenia
18481,thrombocytopenia
18482,enzyme abnormality
18483,amaurosis fugax
18484,infantile spasms
18485,ductus venosus agenesis
18486,gastroenteritis yersinia
18487,intervertebral disc injury
18488,culture wound positive
18489,corticobasal degeneration
18490,pacemaker complication
18491,autistic disorder
18492,oropharyngeal cancer
18493,polychromasia
18494,expulsion of medication
18495,early onset primary dystonia
18497,injection site streaking
18498,non-infectious endophthalmitis
18499,genital neoplasm malignant female
18500,rectal lesion
18501,radiation associated pain
18502,inappropriate thyroid stimulating hormone secretion
18503,pupils unequal
18504,medical device site haemorrhage
18505,respiratory rate decreased
18507,smoke sensitivity
18508,herpes gestationis
18509,choroid plexus papilloma
18510,malignant mediastinal neoplasm
18511,respiratory arrest
18512,eosinophil count
18514,catheter related infection
18515,ovarian cancer metastatic
18516,polysubstance dependence
18517,malabsorption from application site
18518,atypical mycobacterial lower respiratory tract infection
18519,post procedural myocardial infarction
18520,myoglobin blood
18521,repair of imperforate rectum
18522,blast cell count decreased
18523,application site pallor
18524,intervertebral disc degeneration
18525,trimethylaminuria
18526,listeria encephalitis
18527,vestibular function test abnormal
18528,acid base balance
18529,cytomegalovirus infection
18530,urine output decreased
18531,burkholderia cepacia complex infection
18532,optic neuritis
18533,blood viscosity abnormal
18534,angiomyxoma
18535,intestinal angioma
18536,polymyalgia
18538,mitral valve incompetence
18539,sepsis
18540,infusion site granuloma
18541,subclavian vein thrombosis
18542,maternal exposure during breast feeding
18543,tuberculosis test positive
18544,tuberculous tenosynovitis
18545,intestinal stoma
18547,primary syphilis
18548,blood cortisol
18549,toxic optic neuropathy
18550,cystic fibrosis pancreatic
18551,exercise electrocardiogram
18553,decreased insulin requirement
18554,atrial septal defect acquired
18555,sacral hypoplasia
18556,lentigo maligna
18557,lymphocyte transformation test positive
18558,benign neoplasm of spinal cord
18559,exposure to unspecified agent
18560,product packaging confusion
18561,positron emission tomogram
18562,helicobacter sepsis
18563,arthritis enteropathic
18564,aleukaemic leukaemia
18565,radicular pain
18566,micturition frequency decreased
18567,reproductive tract hypoplasia
18568,cryolipolysis procedure
18570,genital contusion
18571,appendix cancer
18572,coombs indirect test positive
18573,postoperative stitch sinus
18574,adoption
18575,postoperative wound infection
18577,eye irritation
18578,juvenile melanoma benign
18579,biopsy trachea abnormal
18580,fibula fracture
18581,gastrointestinal ischaemia
18582,oestradiol
18583,jaw inflammation
18584,neuralgic amyotrophy
18585,intracranial mass
18586,pseudocellulitis
18587,abdominal discomfort
18588,erythroblast count decreased
18589,roseolovirus test positive
18590,collateral circulation
18591,b-lymphocyte count abnormal
18592,afferent loop syndrome
18593,penile plaque
18594,spinal cord lipoma
18595,nih stroke scale score decreased
18596,testicular embryonal carcinoma stage iii
18597,type iv hyperlipidaemia
18598,infusion site joint erythema
18599,skin mass
18600,duodenal stenosis
18601,facial wasting
18602,n-telopeptide urine decreased
18603,gastrointestinal stenosis
18604,thyroid cancer stage ii
18605,cd8 lymphocyte percentage decreased
18606,tumour fistulisation
18607,xeroderma pigmentosum
18608,hepatitis viral test positive
18609,nephrogenic fibrosing dermopathy
18610,mazzotti reaction
18611,capillaritis
18612,eyelash thickening
18613,glycosuria
18614,bladder cancer stage i
18615,haematopoietic stem cell mobilisation
18616,product origin unknown
18617,pancreatic calcification
18618,genital ulceration
18619,cholesterin granuloma of middle ear
18620,benign neoplasm of bladder
18621,hypoaesthesia teeth
18622,perianal fungal infection
18623,hyalosis asteroid
18624,pharyngeal mass
18625,magnesium metabolism disorder
18626,horseshoe kidney
18627,bile duct exploration
18628,epidural haemorrhage
18629,body height above normal
18630,serum serotonin increased
18631,acquired dysfibrinogenaemia
18632,pseudohermaphroditism female
18633,synovial sarcoma
18634,anhidrosis
18635,immunosuppression
18636,seronegative arthritis
18637,testis discomfort
18638,genital neoplasm malignant male
18639,idiopathic generalised epilepsy
18640,delayed ischaemic neurological deficit
18641,paresis
18642,hypersensitivity vasculitis
18643,haemodynamic test normal
18644,hormone-refractory prostate cancer
18645,infusion site irritation
18646,staphylococcus test positive
18647,analgesic effect
18648,biopsy endometrium
18649,ossicle disorder
18650,application site abscess
18651,rebound tachycardia
18652,bacillus test positive
18653,congenital hyperextension of spine
18654,adventitial cystic disease
18655,antibiotic prophylaxis
18656,african trypanosomiasis
18657,transient neonatal pustular melanosis
18658,perineal haematoma
18659,hypertensive emergency
18660,general physical condition abnormal
18661,bone marrow harvest failure
18662,complement factor c2 decreased
18663,endoscopy biliary tract
18664,histology normal
18665,induced abortion infection
18666,rash follicular
18667, olfactory
18668,neurofibrosarcoma
18669,nerve injury
18670,jejunostomy
18671,interferon gamma release assay positive
18673,macule
18674,application site thrombosis
18675,biloma
18676,chylomicrons
18677,ovarian epithelial cancer recurrent
18678,bronchoalveolar lavage
18679,prostatic atrophy
18681,depression suicidal
18682,cardiovascular examination abnormal
18683,penis carcinoma
18684,creatine urine
18685,lung disorder
18686,dyssomnia
18687,oesophagram
18688,red blood cell count decreased
18689,pancreatic enzyme abnormality
18690,alternaria infection
18691,anal discomfort
18692,anaemia megaloblastic
18693,vena cava thrombosis
18694,blast crisis in myelogenous leukaemia
18695,haemothorax
18696,mineralocorticoid deficiency
18697,hypophosphataemic rickets
18698,blood folate decreased
18699,arterial repair
18700,obstructive chronic bronchitis with acute exacerbation
18701,loose tooth
18703,inflammatory marker increased
18704,ovarian vein thrombosis
18705,growth of eyelashes
18706,arachnoid web
18707,altered state of consciousness
18708,cholangiocarcinoma
18709,poor venous access
18710,pleomorphic liposarcoma
18711,infectious mononucleosis
18712,sperm concentration increased
18713,testicular failure primary
18714,rebound psychosis
18715,x-ray with contrast upper gastrointestinal tract
18716,ear malformation
18717,infusion site macule
18719,vision correction operation
18720,smear test
18721,lip neoplasm
18723,skin tightness
18725,pineal parenchymal neoplasm malignant
18726,nerve graft
18727,tetany
18728,pericardial haemorrhage
18729,open angle glaucoma
18730,enamel anomaly
18731,gastric stapling reversal
18732,blood osmolarity
18733,corneal epithelium disorder
18734,dacryocystorhinostomy
18735,chronic myelomonocytic leukaemia
18736,syringe issue
18737,wound haemorrhage
18738,oncogenic osteomalacia
18739,mediastinal infection
18740,muscle operation
18741,small cell lung cancer extensive stage
18742,testicular teratoma benign
18743,increased insulin requirement
18744,csf monocyte count positive
18745,spinal subdural haemorrhage
18746,oedema due to hepatic disease
18748,myelitis
18749,urethral disorder
18750,polysubstance abuse
18751,abdominal haematoma
18752,nodular fasciitis
18753,prolactin-producing pituitary tumour
18754,antiinflammatory therapy
18755,chronic graft versus host disease in liver
18756,drug level below therapeutic
18757,heart rate decreased
18758,salivary gland cancer stage iii
18759,small cell lung cancer metastatic
18760,oestrogen receptor assay negative
18761,pancreatitis acute
18762,necrotising herpetic retinopathy
18763,breast enlargement
18764,biliary tract infection viral
18765,kyphosis postoperative
18766,colposcopy abnormal
18767,intestinal malrotation repair
18768,lymphocytic infiltration
18769,post streptococcal glomerulonephritis
18770,seroma
18771,third stage postpartum haemorrhage
18772,blood urea abnormal
18773,supraventricular tachycardia
18774,primary sequestrum
18775,congenital vesicoureteric reflux
18776,entropion
18777,holoprosencephaly
18778,cerebellar stroke
18779,meningitis meningococcal
18780,molluscum contagiosum
18781,primitive neuroectodermal tumour metastatic
18782,platelet adhesiveness increased
18783,joint resurfacing surgery
18784,sexual transmission of infection
18786,malignant fibrous histiocytoma
18787,leukaemoid reaction
18788,amniocentesis
18790,heart rate irregular
18791,social problem
18792,protein s decreased
18794,medical device site atrophy
18795,face injury
18796,infective mesenteric panniculitis
18797,intestinal hypomotility
18798,diabetic neuropathic ulcer
18799,baseline foetal heart rate variability disorder
18800,hypercorticoidism
18801,carbohydrate antigen 19-9
18802,medical device repositioning
18803,thoracostomy
18804,drug administered to patient of inappropriate age
18805,breast abscess
18806,growth hormone-producing pituitary tumour
18807,prostatic specific antigen abnormal
18808, uncomplicated
18809,omphalectomy
18810,panniculitis
18811,gastric pneumatosis
18812,encephalitis post varicella
18813,pseudoepitheliomatous hyperplasia
18814,injection site dryness
18815,posterior segment of eye anomaly
18816,hepatoblastoma
18817,picornavirus infection
18818,bladder fistula repair
18819,prothrombin level increased
